idLen;idStyle;idRec;abCat;time;name;date;place
8;5;0;WA;07:37.50;;;女子4X200米自由泳接力wr
7;6;0;WA;03:50.40;;;女子4X100米混合泳接力wr
0;0;1;WA;00:23.97;刘湘;;女子50米自由泳ar
1;0;1;WA;00:52.27;何诗蓓;;女子100米自由泳ar
2;0;1;WA;01:53.92;何诗蓓;;女子200米自由泳ar
3;0;1;WA;04:01.08;李冰洁;;女子400米自由泳ar
4;0;1;WA;08:13.31;李冰洁;;女子800米自由泳ar
5;0;1;WA;15:41.49;王简嘉禾;;女子1500米自由泳ar
0;1;1;WA;00:26.98;刘湘;;女子50米仰泳ar
1;1;1;WA;00:58.70;寺川绫;;女子100米仰泳ar
2;1;1;WA;02:06.46;赵菁;;女子200米仰泳ar
0;2;1;WA;00:29.92;唐钱婷;;女子50米蛙泳ar
1;2;1;WA;01:05.19;青木玲绪树;;女子100米蛙泳ar
2;2;1;WA;02:19.65;金藤理绘;;女子200米蛙泳ar
0;3;1;WA;00:25.05;张雨霏;;女子50米蝶泳ar
1;3;1;WA;00:55.62;张雨霏;;女子100米蝶泳ar
2;3;1;WA;02:01.81;刘子歌;;女子200米蝶泳ar
2;4;1;WA;02:07.57;叶诗文;;女子200米个人混合泳ar
3;4;1;WA;04:28.43;叶诗文;;女子400米个人混合泳ar
7;5;1;WA;03:32.40;;;女子4X100米自由泳接力ar
8;5;1;WA;07:40.33;;;女子4X200米自由泳接力ar
7;6;1;WA;03:52.19;;;女子4X100米混合泳接力ar
0;0;2;WA;00:23.97;刘湘;;女子50米自由泳nr
1;0;2;WA;00:52.90;张雨霏;;女子100米自由泳nr
2;0;2;WA;01:54.26;汤慕涵;;女子200米自由泳nr
3;0;2;WA;04:01.08;李冰洁;;女子400米自由泳nr
4;0;2;WA;08:13.31;李冰洁;;女子800米自由泳nr
5;0;2;WA;15:41.49;王简嘉禾;;女子1500米自由泳nr
0;1;2;WA;00:26.98;刘湘;;女子50米仰泳nr
1;1;2;WA;00:58.72;傅园慧;;女子100米仰泳nr
2;1;2;WA;02:06.46;赵菁;;女子200米仰泳nr
0;2;2;WA;00:29.92;唐钱婷;;女子50米蛙泳nr
1;2;2;WA;01:05.32;季丽萍;;女子100米蛙泳nr
2;2;2;WA;02:21.37;齐晖;;女子200米蛙泳nr
0;3;2;WA;00:25.05;张雨霏;;女子50米蝶泳nr
1;3;2;WA;00:55.62;张雨霏;;女子100米蝶泳nr
2;3;2;WA;02:01.81;刘子歌;;女子200米蝶泳nr
2;4;2;WA;02:07.57;叶诗文;;女子200米个人混合泳nr
3;4;2;WA;04:28.43;叶诗文;;女子400米个人混合泳nr
7;5;2;WA;03:32.40;;;女子4X100米自由泳接力nr
8;5;2;WA;07:40.33;;;女子4X200米自由泳接力nr
7;6;2;WA;03:52.19;;;女子4X100米混合泳接力nr
7;5;0;MC;03:18.13;;;男女4X100米自由泳接力wr
7;6;0;MC;03:37.58;;;男女4X100米混合泳接力wr
7;5;1;MC;03:24.67;;;男女4X100米自由泳接力ar
7;6;1;MC;03:38.41;;;男女4X100米混合泳接力ar
7;5;2;MC;03:26.94;;;男女4X100米自由泳接力nr
7;6;2;MC;03:38.41;;;男女4X100米混合泳接力nr
